Spin Number,Roulette Number
1,28
2,14
3,7
4,20
5,18
6,22
7,10
8,10
9,23
10,35
11,23
12,2
13,21
14,1
15,23
16,29
17,1
18,20
19,32
20,11
21,21
22,24
23,26
24,27
25,15
26,14
27,2
28,36
29,6
30,20
31,8
32,17
33,3
34,24
35,13
36,8
37,25
38,1
39,19
40,27
41,6
42,7
43,34
44,13
45,16
46,35
47,3
48,1
49,5
50,3
51,28
52,17
53,25
54,33
55,9
56,35
57,13
58,30
59,14
60,7
61,13
62,22
63,20
64,15
65,17
66,23
67,25
68,24
69,28
70,14
71,0
72,24
73,6
74,8
75,23
76,0
77,7
78,23
79,10
80,16
81,7
82,34
83,34
84,32
85,4
86,27
87,6
88,8
89,7
90,11
91,33
92,32
93,22
94,23
95,36
96,34
97,21
98,26
99,34
100,0
101,34
102,36
103,13
104,2
105,0
106,4
107,25
108,13
109,26
110,8
111,14
112,14
113,25
114,12
115,31
116,31
117,3
118,29
119,36
120,22
121,14
122,28
123,35
124,12
125,31
126,6
127,21
128,27
129,1
130,5
131,27
132,27
133,19
134,29
135,10
136,27
137,24
138,32
139,0
140,26
141,12
142,2
143,5
144,7
145,26
146,8
147,36
148,32
149,23
150,14
151,31
152,31
153,23
154,11
155,1
156,2
157,36
158,16
159,1
160,1
161,27
162,22
163,36
164,31
165,32
166,0
167,18
168,1
169,25
170,31
171,5
172,31
173,3
174,10
175,16
176,23
177,4
178,33
179,5
180,21
181,10
182,15
183,32
184,8
185,5
186,15
187,28
188,2
189,19
190,35
191,18
192,25
193,2
194,18
195,19
196,31
197,6
198,32
199,17
200,0
201,10
202,27
203,24
204,22
205,30
206,29
207,34
208,6
209,15
210,25
211,1
212,0
213,11
214,4
215,36
216,31
217,8
218,34
219,18
220,15
221,2
222,19
223,23
224,32
225,23
226,10
227,7
228,35
229,19
230,34
231,24
232,34
233,24
234,28
235,17
236,17
237,1
238,34
239,15
240,35
241,32
242,3
243,32
244,13
245,20
246,19
247,7
248,6
249,2
250,16
251,32
252,11
253,21
254,21
255,29
256,7
257,26
258,26
259,33
260,20
261,29
262,32
263,27
264,32
265,4
266,18
267,3
268,34
269,16
270,27
271,29
272,28
273,5
274,34
275,36
276,23
277,28
278,30
279,34
280,32
281,20
282,31
283,22
284,32
285,2
286,17
287,24
288,30
289,2
290,23
291,31
292,21
293,22
294,1
295,26
296,1
297,25
298,16
299,32
300,8
301,28
302,25
303,34
304,24
305,23
306,12
307,6
308,35
309,19
310,0
311,7
312,15
313,13
314,11
315,22
316,14
317,27
318,33
319,1
320,31
321,22
322,21
323,24
324,21
325,21
326,5
327,14
328,36
329,32
330,7
331,4
332,3
333,5
334,31
335,29
336,34
337,15
338,12
339,29
340,18
341,16
342,18
343,27
344,25
345,36
346,25
347,22
348,8
349,11
350,0
351,0
352,33
353,31
354,24
355,0
356,15
357,4
358,21
359,28
360,2
361,11
362,25
363,15
364,36
365,21
366,28
367,13
368,27
369,4
370,29
371,4
372,11
373,15
374,25
375,25
376,20
377,35
378,32
379,29
380,36
381,22
382,9
383,4
384,35
385,33
386,30
387,9
388,18
389,31
390,0
391,4
392,3
393,15
394,23
395,15
396,1
397,27
398,31
399,26
400,19
401,23
402,11
403,34
404,32
405,32
406,36
407,11
408,2
409,0
410,32
411,9
412,28
413,12
414,11
415,30
416,1
417,34
418,22
419,16
420,25
421,7
422,28
423,25
424,9
425,25
426,33
427,6
428,3
429,10
430,28
431,35
432,24
433,20
434,35
435,9
436,36
437,8
438,23
439,34
440,34
441,35
442,17
443,31
444,23
445,22
446,31
447,36
448,11
449,12
450,22
451,24
452,34
453,29
454,16
455,19
456,24
457,21
458,12
459,18
460,35
461,11
462,18
463,11
464,8
465,6
466,27
467,13
468,30
469,18
470,15
471,4
472,34
473,11
474,24
475,20
476,35
477,22
478,15
479,13
480,30
481,4
482,34
483,22
484,28
485,10
486,17
487,11
488,8
489,9
490,16
491,6
492,12
493,8
494,26
495,1
496,4
497,28
498,36
499,18
500,7
501,0
502,21
503,16
504,6
505,24
506,3
507,35
508,5
509,30
510,18
511,26
512,9
513,25
514,18
515,2
516,12
517,27
518,19
519,27
520,7
521,0
522,2
523,12
524,27
525,24
526,32
527,5
528,31
529,20
530,15
531,20
532,10
533,36
534,35
535,34
536,18
537,19
538,17
539,13
540,14
541,30
542,0
543,2
544,15
545,22
546,10
547,11
548,9
549,31
550,15
551,7
552,11
553,23
554,27
555,7
556,27
557,35
558,25
559,7
560,27
561,27
562,36
563,35
564,26
565,16
566,8
567,32
568,19
569,12
570,27
571,28
572,12
573,34
574,5
575,17
576,4
577,24
578,1
579,9
580,29
581,4
582,32
583,0
584,17
585,31
586,10
587,20
588,25
589,24
590,21
591,26
592,12
593,32
594,33
595,34
596,0
597,20
598,5
599,27
600,16
601,4
602,30
603,4
604,2
605,22
606,36
607,36
608,9
609,9
610,18
611,16
612,20
613,13
614,8
615,0
616,12
617,3
618,0
619,31
620,33
621,27
622,30
623,7
624,25
625,33
626,2
627,11
628,0
629,4
630,29
631,29
632,16
633,22
634,14
635,36
636,20
637,13
638,1
639,10
640,33
641,33
642,17
643,29
644,14
645,26
646,33
647,32
648,23
649,14
650,29
651,16
652,4
653,28
654,3
655,9
656,16
657,9
658,16
659,19
660,23
661,4
662,33
663,5
664,1
665,12
666,10
667,22
668,15
669,30
670,10
671,15
672,7
673,3
674,3
675,24
676,2
677,31
678,2
679,26
680,28
681,31
682,18
683,20
684,4
685,17
686,27
687,21
688,20
689,5
690,0
691,4
692,11
693,25
694,33
695,13
696,25
697,26
698,8
699,25
700,21
701,29
702,16
703,25
704,35
705,0
706,7
707,34
708,14
709,21
710,13
711,25
712,27
713,22
714,13
715,23
716,1
717,25
718,13
719,6
720,2
721,22
722,17
723,34
724,14
725,24
726,36
727,27
728,9
729,16
730,21
731,25
732,24
733,16
734,12
735,19
736,24
737,3
738,9
739,2
740,17
741,35
742,21
743,33
744,7
745,18
746,36
747,5
748,25
749,33
750,5
751,36
752,32
753,21
754,20
755,5
756,5
757,3
758,29
759,10
760,29
761,30
762,23
763,8
764,2
765,30
766,36
767,35
768,23
769,30
770,5
771,1
772,19
773,27
774,10
775,3
776,14
777,5
778,29
779,1
780,14
781,10
782,7
783,25
784,4
785,5
786,25
787,3
788,18
789,19
790,32
791,19
792,11
793,0
794,25
795,13
796,36
797,10
798,35
799,12
800,2
801,32
802,5
803,9
804,4
805,22
806,9
807,1
808,12
809,1
810,19
811,0
812,36
813,8
814,16
815,8
816,10
817,14
818,23
819,34
820,29
821,30
822,4
823,13
824,10
825,8
826,33
827,11
828,34
829,34
830,0
831,21
832,28
833,7
834,10
835,36
836,13
837,29
838,34
839,20
840,36
841,4
842,18
843,13
844,25
845,3
846,24
847,24
848,17
849,7
850,13
851,31
852,32
853,22
854,14
855,32
856,24
857,16
858,32
859,1
860,13
861,5
862,5
863,2
864,6
865,7
866,14
867,28
868,32
869,29
870,26
871,35
872,28
873,32
874,36
875,26
876,32
877,3
878,21
879,1
880,9
881,4
882,9
883,32
884,12
885,30
886,35
887,23
888,14
889,28
890,7
891,4
892,28
893,3
894,11
895,1
896,26
897,30
898,35
899,35
900,25
901,26
902,4
903,19
904,10
905,9
906,5
907,7
908,22
909,25
910,11
911,25
912,12
913,17
914,24
915,32
916,11
917,35
918,3
919,4
920,36
921,7
922,27
923,30
924,8
925,28
926,13
927,21
928,10
929,22
930,0
931,36
932,20
933,25
934,35
935,22
936,0
937,14
938,20
939,8
940,8
941,9
942,25
943,34
944,24
945,25
946,10
947,1
948,6
949,17
950,26
951,33
952,26
953,16
954,23
955,24
956,6
957,5
958,23
959,32
960,28
961,21
962,25
963,27
964,20
965,6
966,16
967,19
968,19
969,21
970,27
971,6
972,0
973,31
974,12
975,29
976,22
977,18
978,31
979,29
980,28
981,28
982,29
983,15
984,18
985,17
986,0
987,13
988,1
989,27
990,29
991,3
992,0
993,7
994,28
995,2
